age,sex,EducationLevel,Job Title,Years of Experience,fare,MoreThan5Yrs,pclass
40,female,Bachelor's,HR Manager,12,80000,1,3
47,male,PhD,Senior Data Scientist,21,180000,1,1
26,male,Bachelor's,Junior Accountant,1,35000,0,2
38,female,Master's,Digital Marketing Manager,10,90000,1,3
46,male,Bachelor's,IT Manager,19,120000,1,1
31,female,Bachelor's,Customer Service Representative,5,45000,0,2
34,male,Master's,Business Development Manager,8,90000,1,3
49,female,Master's,Senior Financial Analyst,18,150000,1,1
33,male,Bachelor's,Web Developer,6,65000,1,2
39,female,Bachelor's,Recruiter,11,70000,1,3
45,male,PhD,Research Director,16,190000,1,1
28,male,Bachelor's,Technical Support Specialist,2,40000,0,2
42,female,Master's,Creative Director,14,120000,1,3
37,male,Bachelor's,Project Manager,10,95000,1,1
50,female,Bachelor's,Operations Manager,22,160000,1,2
32,male,Master's,Senior Software Engineer,6,100000,1,3
48,female,Master's,Human Resources Director,20,180000,1,1
30,female,Bachelor's,Content Marketing Manager,3,55000,0,2
36,male,Bachelor's,Technical Recruiter,8,70000,1,3
41,female,Master's,Data Analyst,13,80000,1,1
25,male,Bachelor's,Sales Representative,0,30000,0,2
52,male,PhD,Chief Technology Officer,24,250000,1,3
29,female,Bachelor's,Junior Designer,2,40000,0,1
34,female,Master's,Financial Advisor,10,95000,1,2
27,male,Bachelor's,Junior Account Manager,2,45000,0,3
40,female,Bachelor's,HR Generalist,15,80000,1,1
46,male,Master's,Senior Project Manager,21,135000,1,2
31,female,Bachelor's,Marketing Coordinator,6,55000,1,3
36,male,PhD,Principal Scientist,11,120000,1,1
29,female,Bachelor's,Sales Associate,3,40000,0,2
43,male,Bachelor's,Supply Chain Manager,18,105000,1,3
52,female,Master's,Senior Marketing Manager,25,170000,1,1
33,male,Bachelor's,Business Analyst,7,75000,1,2
39,female,Bachelor's,Training Specialist,12,65000,1,3
47,male,PhD,Research Scientist,22,160000,1,1
26,male,Bachelor's,Junior Software Developer,1,35000,0,2
38,female,Master's,Public Relations Manager,10,90000,1,3
45,male,Bachelor's,Operations Analyst,20,110000,1,1
31,female,Bachelor's,Event Coordinator,5,45000,0,2
35,male,Master's,Product Marketing Manager,8,95000,1,3
49,female,Master's,Senior HR Manager,19,150000,1,1
33,male,Bachelor's,Junior Web Developer,5,50000,0,2
39,female,Master's,Senior Project Coordinator,13,80000,1,3
44,male,PhD,Chief Data Officer,16,220000,1,1
30,female,Bachelor's,Digital Content Producer,3,50000,0,2
36,male,Bachelor's,IT Support Specialist,7,60000,1,3
41,female,Master's,Senior Marketing Analyst,14,100000,1,1
28,male,Bachelor's,Customer Success Manager,2,40000,0,2
42,female,Master's,Senior Graphic Designer,15,110000,1,3
37,male,Bachelor's,Software Project Manager,9,95000,1,1
50,female,Bachelor's,Supply Chain Analyst,22,130000,1,2
32,male,Master's,Senior Business Analyst,6,90000,1,3
23,female,Bachelor's,Junior Marketing Analyst,0.5,35000,0,1
31,male,Master's,Senior Financial Analyst,6,95000,1,2
40,female,Bachelor's,Office Manager,15,65000,1,3
48,male,PhD,Principal Engineer,20,170000,1,1
29,female,Bachelor's,Junior HR Generalist,3,45000,0,2
35,male,Master's,Senior Product Manager,10,120000,1,3
42,female,Bachelor's,Sales Manager,17,100000,1,1
53,male,Master's,Director of Marketing,25,180000,1,2
33,female,Bachelor's,Junior Operations Analyst,5,50000,0,3
38,male,Bachelor's,Customer Service Manager,11,80000,1,1
44,female,PhD,Senior Scientist,16,140000,1,2
26,male,Bachelor's,Junior Accountant,2,40000,0,3
37,female,Master's,Senior HR Generalist,9,95000,1,1
45,male,Bachelor's,Sales Operations Manager,18,110000,1,2
32,female,Bachelor's,Marketing Coordinator,4,50000,0,3
34,male,Master's,Senior Software Developer,8,105000,1,1
50,female,Master's,Director of Operations,21,160000,1,2
29,male,Bachelor's,Junior Web Designer,3,45000,0,3
40,female,Master's,Senior Training Specialist,12,100000,1,1
47,male,PhD,Senior Research Scientist,22,160000,1,2
27,male,Bachelor's,Junior Sales Representative,1,35000,0,3
39,female,Bachelor's,Administrative Assistant,10,55000,1,1
46,male,Master's,Senior Project Manager,19,140000,1,2
30,female,Bachelor's,Junior Marketing Manager,4,50000,0,3
36,male,Bachelor's,Junior Data Analyst,7,60000,1,1
43,female,Master's,Senior Product Marketing Manager,14,120000,1,2
28,male,Bachelor's,Junior Business Analyst,2,40000,0,3
41,female,Master's,Senior Marketing Manager,13,110000,1,1
33,male,Bachelor's,Junior Software Developer,5,50000,0,2
47,male,Bachelor's,Senior Sales Manager,20,135000,1,3
25,female,Master's,Junior Marketing Specialist,1.5,40000,0,1
34,male,Bachelor's,Senior Business Analyst,8,90000,1,2
42,female,PhD,Senior Data Scientist,16,150000,1,3
31,male,Bachelor's,Junior Project Manager,4,60000,0,1
38,female,Bachelor's,Senior Accountant,10,80000,1,2
45,male,Master's,Director of Sales,19,175000,1,3
29,female,Bachelor's,Junior Recruiter,3,45000,0,1
36,male,Master's,Senior Business Development Manager,11,120000,1,2
43,female,PhD,Senior Product Designer,18,140000,1,3
26,male,Bachelor's,Junior Customer Support Specialist,2,35000,0,1
37,female,Master's,Senior Marketing Analyst,9,95000,1,2
44,male,Bachelor's,Senior IT Support Specialist,14,110000,1,3
32,female,Bachelor's,Junior Financial Analyst,5,50000,0,1
33,male,Master's,Senior Operations Manager,7,115000,1,2
51,female,PhD,Director of Human Resources,23,185000,1,3
28,male,Bachelor's,Junior Software Engineer,2,40000,0,1
39,female,Bachelor's,Senior Sales Representative,12,90000,1,2
48,male,Master's,Director of Product Management,21,175000,1,3
30,female,Bachelor's,Junior Copywriter,3,45000,0,1
35,male,Bachelor's,Senior Marketing Coordinator,7,80000,1,2
41,female,Master's,Senior Human Resources Manager,13,120000,1,3
27,male,Bachelor's,Junior Business Development Associate,1.5,35000,0,1
40,female,Bachelor's,Senior Account Manager,14,110000,1,2
46,male,PhD,Senior Researcher,18,150000,1,3
31,female,Bachelor's,Junior HR Coordinator,4,50000,0,1
34,male,Master's,Senior Software Engineer,9,105000,1,2
50,female,Master's,Director of Finance,20,180000,1,3
29,male,Bachelor's,Junior Marketing Coordinator,2,40000,0,1
43,male,Bachelor's,Senior Project Manager,16,140000,1,3
26,female,Master's,Junior Data Scientist,1.5,45000,0,1
35,male,Bachelor's,Senior Operations Analyst,7,85000,1,3
42,female,PhD,Senior Marketing Manager,18,140000,1,1
31,male,Bachelor's,Junior Accountant,4,50000,0,3
38,female,Bachelor's,Senior Human Resources Coordinator,10,80000,1,1
46,male,Master's,Director of Operations,20,170000,1,3
29,female,Bachelor's,Junior Sales Representative,2,40000,0,1
37,male,Master's,Senior Business Analyst,9,105000,1,3
44,female,PhD,Senior UX Designer,15,145000,1,1
27,male,Bachelor's,Junior Product Manager,2,40000,0,3
36,female,Bachelor's,Senior Marketing Specialist,8,85000,1,1
43,male,Bachelor's,Senior IT Project Manager,14,130000,1,3
33,female,Master's,Senior Financial Analyst,6,95000,1,1
34,male,Bachelor's,Senior Quality Assurance Analyst,9,100000,1,3
50,female,PhD,Director of Sales and Marketing,22,180000,1,1
28,male,Bachelor's,Junior Operations Analyst,1.5,35000,0,3
39,female,Bachelor's,Senior Account Executive,12,95000,1,1
47,male,Master's,Director of Business Development,19,170000,1,3
30,female,Bachelor's,Junior Social Media Manager,3,45000,0,1
34,male,Bachelor's,Senior Product Manager,7,95000,1,3
40,female,Master's,Senior Human Resources Specialist,13,120000,1,1
28,male,Bachelor's,Junior Business Analyst,2,40000,0,3
41,female,Bachelor's,Senior Marketing Coordinator,11,90000,1,1
45,male,PhD,Senior Data Analyst,17,155000,1,3
32,female,Bachelor's,Junior Account Manager,5,55000,0,1
35,male,Master's,Senior Software Developer,9,110000,1,3
49,female,Master's,Director of Human Capital,21,180000,1,1
30,male,Bachelor's,Junior Advertising Coordinator,3,45000,0,3
44,male,Bachelor's,Senior Sales Manager,16,130000,1,1
27,female,Master's,Junior UX Designer,1.5,45000,0,3
36,male,Bachelor's,Senior Accountant,7,90000,1,1
41,female,PhD,Senior Marketing Director,17,160000,1,3
31,male,Bachelor's,Junior HR Generalist,4,50000,0,1
39,female,Bachelor's,Senior Operations Manager,10,120000,1,3
47,male,Master's,Director of Finance,20,170000,1,1
30,female,Bachelor's,Junior Marketing Coordinator,2,40000,0,3
38,male,Master's,Senior IT Consultant,9,110000,1,1
45,female,PhD,Senior Product Designer,15,150000,1,3
28,male,Bachelor's,Junior Business Development Associate,2,40000,0,1
35,female,Bachelor's,Senior Marketing Analyst,8,85000,1,3
44,male,Bachelor's,Senior Software Engineer,14,130000,1,1
34,female,Master's,Senior Financial Advisor,6,100000,1,3
35,male,Bachelor's,Senior Project Coordinator,9,95000,1,1
50,female,PhD,Director of Operations,22,180000,1,3
29,male,Bachelor's,Junior Business Operations Analyst,1.5,35000,0,1
40,female,Bachelor's,Senior Sales Representative,12,100000,1,3
48,male,Master's,Director of Marketing,19,170000,1,1
31,female,Bachelor's,Junior Social Media Specialist,3,45000,0,3
33,male,Bachelor's,Senior Product Development Manager,7,100000,1,1
42,female,Master's,Senior Human Resources Manager,13,140000,1,3
28,male,Bachelor's,Junior Financial Analyst,2,40000,0,1
40,female,Bachelor's,Senior Marketing Manager,11,105000,1,3
46,male,PhD,Senior Data Scientist,18,160000,1,1
33,female,Bachelor's,Junior Operations Manager,5,70000,0,3
37,male,Master's,Senior Software Architect,9,120000,1,1
51,female,Master's,Director of Human Resources,21,190000,1,3
30,male,Bachelor's,Junior Marketing Specialist,3,45000,0,1
43,male,Bachelor's,Senior Project Manager,15,120000,1,3
27,female,Master's,Junior Research Scientist,1.5,50000,0,1
35,male,Bachelor's,Senior Operations Analyst,8,85000,1,3
42,female,PhD,Senior Marketing Manager,13,140000,1,1
32,male,Bachelor's,Junior Sales Representative,3,45000,0,3
37,female,Bachelor's,Senior Financial Analyst,9,100000,1,1
45,male,Master's,Senior Software Developer,16,140000,1,3
33,female,Bachelor's,Junior Operations Analyst,5,70000,0,1
39,male,Bachelor's,Senior Marketing Specialist,10,120000,1,3
44,female,PhD,Senior HR Manager,18,160000,1,1
29,male,Bachelor's,Junior Business Analyst,1.5,40000,0,3
38,female,Bachelor's,Senior Product Manager,10,120000,1,1
46,male,PhD,Senior Data Analyst,19,150000,1,3
34,female,Bachelor's,Junior Marketing Analyst,6,70000,1,1
36,male,Bachelor's,Senior Operations Manager,8,95000,1,3
49,female,Master's,Director of Marketing,21,180000,1,1
31,male,Bachelor's,Junior Financial Analyst,3,50000,0,3
41,female,Bachelor's,Senior Project Coordinator,11,95000,1,1
47,male,Master's,Director of Operations,20,170000,1,3
30,female,Bachelor's,Junior Marketing Coordinator,2,40000,0,1
38,male,Master's,Senior IT Consultant,9,110000,1,3
45,female,PhD,Senior Product Designer,15,150000,1,1
28,male,Bachelor's,Junior Business Development Associate,2,40000,0,3
35,female,Bachelor's,Senior Marketing Analyst,8,85000,1,1
44,male,Bachelor's,Senior Software Engineer,14,130000,1,3
34,female,Master's,Senior Financial Advisor,6,100000,1,1
35,male,Bachelor's,Senior Project Coordinator,9,95000,1,3
50,female,PhD,Director of Operations,22,180000,1,1
29,male,Bachelor's,Junior Business Operations Analyst,1.5,350,0,3
,,,,,,0,1
37,female,Bachelor's,Senior Financial Manager,10,120000,1,3
46,male,PhD,Senior Data Scientist,18,160000,1,1
31,female,Bachelor's,Junior Marketing Coordinator,3,50000,0,3
42,male,Bachelor's,Senior Operations Manager,12,110000,1,1
29,female,Bachelor's,Junior Sales Representative,1.5,40000,0,3
36,male,Bachelor's,Senior Marketing Specialist,8,95000,1,1
44,female,Master's,Senior HR Specialist,15,140000,1,3
33,male,Bachelor's,Junior Operations Manager,4,60000,0,1
39,female,Bachelor's,Senior Marketing Coordinator,9,110000,1,3
45,male,PhD,Senior Data Engineer,16,150000,1,1
32,female,Bachelor's,Junior Marketing Manager,4,60000,0,3
37,male,Bachelor's,Senior Financial Analyst,8,90000,1,1
47,female,Master's,Director of Marketing,20,180000,1,3
30,male,Bachelor's,Junior Business Analyst,2,40000,0,1
38,female,Bachelor's,Senior Project Manager,9,120000,1,3
46,male,PhD,Senior Data Analyst,17,160000,1,1
34,female,Bachelor's,Junior Financial Analyst,5,70000,0,3
36,male,Bachelor's,Senior Product Manager,8,95000,1,1
49,female,Master's,Director of Operations,21,180000,1,3
31,male,Bachelor's,Junior Operations Analyst,3,50000,0,1
41,female,Bachelor's,Senior Project Coordinator,11,95000,1,3
47,male,Master's,Director of Marketing,19,170000,1,1
29,female,Bachelor's,Junior Business Development Associate,1.5,35000,0,3
35,male,Bachelor's,Senior Financial Manager,9,100000,1,1
44,female,PhD,Senior Product Designer,15,150000,1,3
33,male,Bachelor's,Junior Business Analyst,4,60000,0,1
35,female,Bachelor's,Senior Marketing Analyst,8,85000,1,3
44,male,Bachelor's,Senior Software Engineer,13,130000,1,1
32,male,Bachelor's,Junior Product Manager,4,65000,0,3
38,female,Bachelor's,Senior Business Analyst,10,110000,1,1
49,male,PhD,Director of Operations,21,180000,1,3
29,female,Bachelor's,Junior Marketing Specialist,2,40000,0,1
35,male,Bachelor's,Senior Business Development Manager,7,90000,1,3
45,female,Master's,Senior HR Manager,14,140000,1,1
33,male,Bachelor's,Junior Financial Analyst,4,60000,0,3
40,female,Bachelor's,Senior Marketing Manager,12,130000,1,1
44,male,PhD,Senior Data Scientist,16,160000,1,3
30,female,Bachelor's,Junior Operations Coordinator,2,40000,0,1
37,male,Bachelor's,Senior Marketing Analyst,9,100000,1,3
48,female,Master's,Director of HR,20,180000,1,1
31,male,Bachelor's,Junior Project Manager,3,55000,0,3
38,female,Bachelor's,Senior Operations Coordinator,9,120000,1,1
45,male,PhD,Senior Data Engineer,16,150000,1,3
33,female,Bachelor's,Junior Marketing Manager,5,70000,0,1
36,male,Bachelor's,Senior Business Analyst,8,95000,1,3
49,female,Master's,Director of Marketing,21,180000,1,1
31,male,Bachelor's,Junior Operations Analyst,3,50000,0,3
42,female,Bachelor's,Senior Project Manager,12,120000,1,1
47,male,Master's,Director of Marketing,19,170000,1,3
29,female,Bachelor's,Junior Business Development Associate,1.5,35000,0,1
35,male,Bachelor's,Senior Financial Manager,9,100000,1,3
44,female,PhD,Senior Product Designer,15,150000,1,1
33,male,Bachelor's,Junior Business Analyst,4,60000,0,3
35,female,Bachelor's,Senior Marketing Analyst,8,85000,1,1
44,male,Bachelor's,Senior Software Engineer,13,130000,1,3
34,female,Master's,Senior Financial Advisor,6,80000,1,1
36,male,Bachelor's,Senior Marketing Specialist,8,95000,1,3
30,female,Bachelor's,Junior HR Coordinator,2,40000,0,1
37,male,Bachelor's,Senior Business Development Manager,10,120000,1,3
45,female,Master's,Senior Marketing Manager,16,160000,1,1
32,male,Bachelor's,Junior Financial Advisor,4,65000,0,3
39,female,Bachelor's,Senior Project Manager,12,130000,1,1
47,male,PhD,Director of Engineering,20,180000,1,3
29,female,Bachelor's,Junior Marketing Analyst,2,40000,0,1
36,male,Bachelor's,Senior Operations Manager,9,100000,1,3
43,female,PhD,Senior Data Scientist,15,150000,1,1
32,male,Bachelor's,Junior Marketing Coordinator,3,55000,0,3
38,female,Bachelor's,Senior Business Analyst,10,110000,1,1
48,male,Master's,Director of Marketing,21,180000,1,3
31,female,Bachelor's,Junior Business Development Associate,3,50000,0,1
40,male,Bachelor's,Senior Financial Analyst,12,130000,1,3
45,female,PhD,Senior UX Designer,16,160000,1,1
33,male,Bachelor's,Junior Product Manager,4,60000,0,3
36,female,Bachelor's,Senior Marketing Manager,8,95000,1,1
47,male,Master's,Director of Operations,19,170000,1,3
29,female,Bachelor's,Junior Project Manager,2,40000,0,1
34,male,Bachelor's,Senior Operations Coordinator,7,90000,1,3
44,female,PhD,Senior Business Analyst,15,150000,1,1
33,male,Bachelor's,Junior Marketing Specialist,5,70000,0,3
35,female,Bachelor's,Senior Financial Manager,8,90000,1,1
43,male,Master's,Director of Marketing,18,170000,1,3
31,female,Bachelor's,Junior Financial Analyst,3,50000,0,1
41,male,Bachelor's,Senior Product Manager,14,150000,1,3
44,female,PhD,Senior Data Engineer,16,160000,1,1
33,male,Bachelor's,Junior Business Analyst,4,60000,0,3
35,female,Bachelor's,Senior Marketing Analyst,8,85000,1,1
45,male,Master's,Director of Engineering,19,180000,1,3
28,female,Bachelor's,Junior Operations Manager,1,35000,0,1
36,male,Bachelor's,Senior Business Development Manager,8,110000,1,3
44,female,PhD,Senior Data Scientist,16,160000,1,1
31,male,Bachelor's,Junior Marketing Coordinator,3,55000,0,3
38,female,Bachelor's,Senior Business Analyst,10,110000,1,1
48,male,Master's,Director of Marketing,21,180000,1,3
31,female,Bachelor's,Junior Business Development Associate,3,50000,0,1
40,male,Bachelor's,Senior Financial Analyst,12,130000,1,3
45,female,PhD,Senior UX Designer,16,160000,1,1
33,male,Bachelor's,Junior Product Manager,4,60000,0,3
36,female,Bachelor's,Senior Marketing Manager,8,95000,1,1
47,male,Master's,Director of Operations,19,170000,1,3
29,female,Bachelor's,Junior Project Manager,2,40000,0,1
34,male,Bachelor's,Senior Operations Coordinator,7,90000,1,3
44,female,PhD,Senior Business Analyst,15,150000,1,1
33,male,Bachelor's,Junior Marketing Specialist,5,70000,0,3
35,female,Bachelor's,Senior Financial Manager,8,90000,1,1
43,male,Master's,Director of Marketing,18,170000,1,3
31,female,Bachelor's,Junior Financial Analyst,3,50000,0,1
41,male,Bachelor's,Senior Product Manager,14,150000,1,3
44,female,PhD,Senior Data Engineer,16,160000,1,1
33,male,Bachelor's,Junior Business Analyst,4,60000,0,3
35,female,Bachelor's,Senior Marketing Analyst,8,85000,1,1
43,male,Master's,Director of Operations,19,170000,1,3
29,female,Bachelor's,Junior Project Manager,2,40000,0,1
34,male,Bachelor's,Senior Operations Coordinator,7,90000,1,3
44,female,PhD,Senior Business Analyst,15,150000,1,1
31,male,Master's,Data Scientist,6,160000,1,3
28,female,Bachelor's,Software Engineer,3,125000,0,1
26,male,Master's,Product Manager,2,120000,0,3
27,female,Bachelor's,Data Analyst,2,110000,0,1
30,male,PhD,Data Scientist,5,180000,0,3
29,female,Bachelor's,Software Engineer,4,140000,0,1
32,male,Bachelor's,Product Manager,7,170000,1,3
25,female,Master's,Data Analyst,1,100000,0,1
33,male,PhD,Data Scientist,8,190000,1,3
31,female,Bachelor's,Software Engineer,6,155000,1,1
28,male,Master's,Product Manager,3,130000,0,3
30,female,Bachelor's,Data Analyst,5,145000,0,1
27,male,PhD,Data Scientist,2,115000,0,3
29,female,Bachelor's,Software Engineer,4,140000,0,1
34,male,Bachelor's,Product Manager,9,185000,1,3
25,female,Master's,Data Analyst,1,100000,0,1
33,male,PhD,Data Scientist,8,190000,1,3
31,female,Bachelor's,Software Engineer,6,155000,1,1
28,male,Master's,Product Manager,3,130000,0,3
30,female,Bachelor's,Data Analyst,5,145000,0,1
28,male,Bachelor's,Software Engineer,3,125000,0,3
26,female,Master's,Product Manager,2,120000,0,1
27,male,Bachelor's,Data Analyst,2,110000,0,3
30,female,PhD,Data Scientist,5,180000,0,1
29,male,Bachelor's,Software Engineer,4,140000,0,3
32,male,Bachelor's,Product Manager,7,170000,1,1
25,female,Master's,Data Analyst,1,100000,0,3
33,male,PhD,Data Scientist,8,190000,1,1
31,female,Bachelor's,Software Engineer,6,155000,1,3
28,male,Master's,Product Manager,3,130000,0,1
30,female,Bachelor's,Data Analyst,5,145000,0,3
27,male,PhD,Data Scientist,2,115000,0,1
29,female,Bachelor's,Software Engineer,4,140000,0,3
34,male,Bachelor's,Product Manager,9,185000,1,1
25,female,Master's,Data Analyst,1,100000,0,3
33,male,PhD,Data Scientist,8,190000,1,1
31,female,Bachelor's,Software Engineer,6,155000,1,3
28,male,Master's,Product Manager,3,130000,0,1
30,female,Bachelor's,Data Analyst,5,145000,0,3
28,male,Bachelor's,Software Engineer,3,125000,0,1
26,female,Master's,Product Manager,2,120000,0,3
27,male,Bachelor's,Data Analyst,2,110000,0,1
30,female,PhD,Data Scientist,5,180000,0,3
29,male,Bachelor's,Software Engineer,4,140000,0,1
32,male,Bachelor's,Product Manager,7,170000,1,3
25,female,Master's,Data Analyst,1,100000,0,1
33,male,PhD,Data Scientist,8,190000,1,3
31,female,Bachelor's,Software Engineer,6,155000,1,1
28,male,Master's,Product Manager,3,130000,0,3
30,female,Bachelor's,Data Analyst,5,145000,0,1
27,male,PhD,Data Scientist,2,115000,0,3
29,female,Bachelor's,Software Engineer,4,140000,0,1
34,male,Bachelor's,Product Manager,9,185000,1,3
25,female,Master's,Data Analyst,1,100000,0,1
33,male,PhD,Data Scientist,8,190000,1,3
31,female,Bachelor's,Software Engineer,6,155000,1,1
28,male,Master's,Product Manager,3,130000,0,3
30,female,Bachelor's,Data Analyst,5,145000,0,1
28,male,Bachelor's,Software Engineer,3,125000,0,3
26,female,Master's,Product Manager,2,120000,0,1
27,male,Bachelor's,Data Analyst,2,110000,0,3
30,female,PhD,Data Scientist,5,180000,0,1
29,male,Bachelor's,Software Engineer,4,140000,0,3
32,male,Bachelor's,Product Manager,7,170000,1,1
25,female,Master's,Data Analyst,1,100000,0,3
33,male,PhD,Data Scientist,8,190000,1,1
31,female,Bachelor's,Software Engineer,6,155000,1,3
28,male,Master's,Product Manager,3,130000,0,1
30,female,Bachelor's,Data Analyst,5,145000,0,3
27,male,PhD,Data Scientist,2,115000,0,1
29,female,Bachelor's,Software Engineer,4,140000,0,3
34,male,Bachelor's,Product Manager,9,185000,1,1
25,female,Master's,Data Analyst,1,100000,0,3
33,male,PhD,Data Scientist,8,190000,1,1
31,female,Bachelor's,Software Engineer,6,155000,1,3
28,male,Master's,Product Manager,3,130000,0,1
30,female,Bachelor's,Data Analyst,5,145000,0,3
27,male,PhD,Data Scientist,2,115000,0,1
29,female,Bachelor's,Software Engineer,4,140000,0,3
34,male,Bachelor's,Product Manager,9,185000,1,1
25,female,Master's,Data Analyst,1,100000,0,3
33,male,PhD,Data Scientist,8,190000,1,1
31,female,Bachelor's,Software Engineer,6,155000,1,3
28,male,Master's,Product Manager,3,130000,0,1
30,female,Bachelor's,Data Analyst,5,145000,0,3
28,male,Bachelor's,Software Engineer,3,125000,0,1
26,female,Master's,Product Manager,2,120000,0,3
27,male,Bachelor's,Data Analyst,2,110000,0,1
30,female,PhD,Data Scientist,5,180000,0,3
29,male,Bachelor's,Software Engineer,4,140000,0,1
32,male,Bachelor's,Product Manager,7,170000,1,3
25,female,Master's,Data Analyst,1,100000,0,1
33,male,PhD,Data Scientist,8,190000,1,3
31,female,Bachelor's,Software Engineer,6,155000,1,1
28,male,Master's,Product Manager,3,130000,0,3
30,female,Bachelor's,Data Analyst,5,145000,0,1
27,male,PhD,Data Scientist,2,115000,0,3
29,female,Bachelor's,Software Engineer,4,140000,0,1
34,male,Bachelor's,Product Manager,9,185000,1,3
25,female,Master's,Data Analyst,1,100000,0,1
33,male,PhD,Data Scientist,8,190000,1,3
31,female,Bachelor's,Software Engineer,6,155000,1,1
28,male,Master's,Product Manager,3,130000,0,3
30,female,Bachelor's,Data Analyst,5,145000,0,1
27,male,PhD,Data Scientist,2,115000,0,3
29,female,Bachelor's,Software Engineer,4,140000,0,1
34,male,Bachelor's,Product Manager,9,185000,1,3
25,female,Master's,Data Analyst,1,100000,0,1
33,male,PhD,Data Scientist,8,190000,1,3
31,female,Bachelor's,Software Engineer,6,155000,1,1
28,male,Master's,Product Manager,3,130000,0,3
30,female,Bachelor's,Data Analyst,5,145000,0,1
27,male,PhD,Data Scientist,2,115000,0,3
29,female,Bachelor's,Software Engineer,4,140000,0,1
34,male,Bachelor's,Product Manager,9,185000,1,3
25,female,Master's,Data Analyst,1,100000,0,1
33,male,PhD,Data Scientist,8,190000,1,3
31,female,Bachelor's,Software Engineer,6,155000,1,1
28,male,Master's,Product Manager,3,130000,0,3
30,female,Bachelor's,Data Analyst,5,145000,0,1
27,male,PhD,Data Scientist,2,115000,0,3
29,female,Bachelor's,Software Engineer,4,140000,0,1
34,male,Bachelor's,Product Manager,9,185000,1,3
25,female,Master's,Data Analyst,1,100000,0,1
33,male,PhD,Data Scientist,8,190000,1,3
31,female,Bachelor's,Software Engineer,6,155000,1,1
28,male,Master's,Product Manager,3,130000,0,3
30,female,Bachelor's,Data Analyst,5,145000,0,1
27,male,PhD,Data Scientist,2,115000,0,3
29,female,Bachelor's,Software Engineer,4,140000,0,1
34,male,Bachelor's,Product Manager,9,185000,1,3
26,male,Bachelor's,Data Analyst,3,130000,0,1
